2018-11-20 00:21:32.390 [THREAD    1] [DEBUG] Illumina.SpaceDock.SpaceDock                       Configuring Job: {"ReferenceId":"use1-prod:138144045","DockerImageId":"akorobeynikov/spades_test","DockerUserName":"","DockerPassword":"","AccessToken":"[hidden]","ApiUrl":"https://api.basespace.illumina.com","CommandLine":["/home/apps/spades/bin/spades.py","--basespace","/data/input/AppSession.json"],"Options":["LaunchMode=SpotThenOnDemand","bsfs.genomesjsonurl=https://s3.amazonaws.com/use1-prd-seq-hub-appdata/use1-genomes.json"],"IsTimedOut":false}
2018-11-20 00:21:34.355 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.SampleDownloadLogic             Downloading Sample 'SRR643156' (Id: 37372535; 2 files)
2018-11-20 00:21:34.362 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535/files
2018-11-20 00:21:34.362 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/samples/37372535/files attempt 1
2018-11-20 00:21:34.437 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535/files completed after 1 attempts and 75ms
2018-11-20 00:21:34.527 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Downloader                      Starting download of file list (2 files: 475.60 MB)
2018-11-20 00:21:34.558 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.Downloader                      Begin downloading file SRR643156_S2_L001_R1_001.fastq.gz.
2018-11-20 00:21:34.559 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AbstractResourceDownloadLogic`3[[Illumina.BaseSpace.SDK.Types.SampleCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null],[Illumina.BaseSpace.SDK.ServiceModels.ListSampleFilesRequest, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] operation starting: Downloading SRR643156_S2_L001_R1_001.fastq.gz attempt 1
2018-11-20 00:21:34.561 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/files/5259185460/content
2018-11-20 00:21:34.561 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/files/5259185460/content attempt 1
2018-11-20 00:21:34.743 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/files/5259185460/content completed after 1 attempts and 181ms
2018-11-20 00:21:37.299 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.DownloadFileCommand         Execution Over with _token.IsCancellationRequested = False for NotSet
2018-11-20 00:21:37.300 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Downloader+<>c__DisplayClass2_1`1[[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Validating temp file '/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/scratch/downloads/samples/37372535/Data/Intensities/BaseCalls/SRR643156_S2_L001_R1_001.fastq.gz'.
2018-11-20 00:21:43.340 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.Downloader+<>c__DisplayClass2_1`1[[Illumina.BaseSpace.SDK.Types.SampleFileCompact, Illumina.BaseSpace.SDK, Version=2.0.0.376, Culture=neutral, PublicKeyToken=null]] Finished downloading file SRR643156_S2_L001_R1_001.fastq.gz (100% downloaded).
